feature,severity,rule,definition
N/A,Info,ZeroCountOfUnitQualifiedAddresses,Validates that a delivery has at least one unit-qualified Address.
N/A,Violation,FeatureIdMustBeString,Structural Validation: Validates that the feature id is a string. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureIdMustBeUnique,Structural Validation: Validates that a feature has a unique ID. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureIdMustNotBeEmpty,Structural Validation: Validates that the feature id is not an empty string. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureMustHaveFeatureType,Structural Validation: Validates that the feature has a top-level feature_type field. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureMustHaveId,Structural Validation: Validates that the feature has a top-level id field. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureTypeMustBeString,Structural Validation: Validates that the feature type is a string. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FeatureTypeMustNotBeEmpty,Structural Validation: Validates that the feature has a non-empty feature type. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,FileMustBeValidGeoJSON,"Structural Validation: Validates that a file is a valid GeoJSON. Checks include, amongst others: i) Self-intersection, where a line segment crosses a line segment. ii) Self-intersection, where a line segment overlaps a line segment. iii) Self-intersection, where vertices have the same x/y coordinates. Complete validation of an Archive is predicated upon all structural validations being passed."
N/A,Violation,FileMustContainFeatureCollection,Structural Validation: Validates that the file contains a valid GeoJSON FeatureCollection. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,ManifestFileMustBePresent,Structural Validation: Validates that a Manifest file is present in the delivery. Complete validation of an Archive is predicated upon all structural validations being passed.
N/A,Violation,NameMustBeString,Validates that a name is a string data type.
N/A,Violation,ReferencedFeatureIDMustBeResolvable,Structural Validation: Validates that a feature id reference is resolvable.
N/A,Violation,VenueCountMustBeExactlyOne,Validates that a delivery contains only one Venue feature.
Address,Violation,AddressMustBeReferenced,Validates that an Address record is referenced by a feature.
Address,Violation,AddressMustHaveAddressLine,Validates that an Address has an address line.
Address,Violation,AddressMustHaveCountryCode,Validates that an Address has a country code.
Address,Violation,AddressMustHaveLocality,Validates that an Address has a locality.
Address,Violation,AddressMustHaveProvinceCode,Validates that an Address has a Province code when defined by ISO for Country.
Address,Violation,AddressUnitMustNotBeBlank,Validates that Address Unit is not blank. (Not empty string or whitespace.)
Address,Violation,InvalidCountryCode,Validates that a country code is a valid ISO-3166 value.
Address,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Address,Violation,InvalidISOCountryAndISOProvinceCodeCombination,Validates that the ISO Province code is valid for ISO the Country.
Address,Violation,InvalidIsoProvinceCode,Validates that a province code is a valid ISO-3166-2 value.
Address,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Address,Violation,PostalCodeExtensionMustNotBeBlank,Validates that postal_code_ext in Address is not blank. (Not empty string or whitespace.)
Address,Violation,PostalCodeMustNotBeBlank,Validates that postal_code in an Address is not blank. (Not empty string or whitespace.)
Address,Violation,VanityPostalCodeMustNotBeBlank,Validates that postal_code_vanity in Address is not blank. (Not empty string or whitespace.)
Address,Warning,AddressHasDissimilarProvinceCode,Validates that Addresses do not have dissimilar province codes.
Address,Warning,AddressMustBeDistinct,Validates that Addresses are distinct.
Address,Warning,AddressShouldHavePostalCode,Validates that an Address has a postal_code.
Amenity,Info,GenericRestroomUnitCategoryContainsSpecificRestroomAmenityCategory,"Validates that a 'restroom.family', 'restroom.female', 'restroom.male', 'restroom.transgender', or 'restroom.unisex' Amenity is not contained (or touched) by a 'restroom' Unit."
Amenity,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Amenity,Violation,AltNameMustBeString,Validates that an alt_name is a string data type.
Amenity,Violation,AmenityCategoryMustBeValid,Validates the category assigned to an Amenity.
Amenity,Violation,AmenityMustHaveCategory,Validates that an Amenity has a category value.
Amenity,Violation,AmenityMustHavePointGeometry,Validates that an Amenity is a Point geometry.
Amenity,Violation,AmenityMustReferenceUnit,Validates that an Amenity references a Unit.
Amenity,Violation,CorrelationIdMustBeMatched,Validates that a correlation_id is matched by at least one other feature's correlation_id in the same feature-type.
Amenity,Violation,HoursMustNotBeBlank,Validates that hours are not blank. (Not empty string or whitespace.)
Amenity,Violation,InvalidCorrelationID,Validates that a 'correlation_id' is a valid v4 UUID value.
Amenity,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Amenity,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Amenity,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Amenity,Violation,LevelIDsMustBeDissimilarForCorrelationID,"Validates that features from the same feature-type, whose correlation_id match, possess dissimilar Level id values."
